ts,relay_rss_kb,nginx_rss_kb,tcp_estab,relay_fds,nginx_fds_total,rx_bytes,tx_bytes,load1,cpu_pct,mem_avail_kb
1776197757,266844,158836,1778,613,1247,35537750888,4747396119,0.03,6.8,7097800
1776197763,266852,159248,3306,1120,2341,35538700342,4750105454,0.03,9,7104276
1776197768,266884,164164,5417,1826,3672,35540064614,4754329894,0.02,2.3,7090808
1776197774,267008,164184,5432,1831,3682,35540154623,4754373220,0.02,2.3,7089568
1776197779,267392,164236,5447,1836,3693,35540254892,4754420479,0.02,0,7088552
1776197785,267520,164276,5471,1844,3708,35540360485,4754478502,0.02,2.4,7087884
1776197790,267520,164344,5483,1848,3716,35540600750,4755009795,0.02,4.8,7091576
1776197795,267520,164360,5489,1850,3720,35541152484,4756398555,0.01,4.8,7095076
1776197801,267648,164372,5492,1851,3722,35541544235,4757301778,0.01,2.3,7093232
1776197806,272428,165116,5717,1926,3872,35541773808,4757873738,0.01,2.3,7087232
1776197811,272556,165116,5720,1927,3874,35541867940,4757912042,0.01,2.3,7086796
1776197817,272556,165116,5723,1928,3876,35541948246,4757937593,0.01,2.3,7083876
1776197822,272952,165168,5732,1931,3882,35542370052,4759033861,0.01,2.4,7081916
1776197828,273152,165168,5735,1932,3884,35543000242,4760704157,0.17,4.7,7082800
1776197833,273404,165176,5738,1933,3886,35543187741,4761010126,0.15,0,7079884
1776197838,273736,165180,5744,1935,3890,35543317250,4761177723,0.14,2.3,7080700
1776197844,273744,165180,5744,1935,3890,35543429260,4761216648,0.13,2.3,7079232
1776197849,273868,165184,5747,1936,3892,35543620591,4761588628,0.43,2.4,7079172
1776197855,274384,165184,5747,1936,3892,35544173034,4763034522,0.48,2.4,7082720
1776197860,274596,165184,5747,1936,3892,35544660728,4764235487,0.44,0,7080344
1776197865,274608,165184,5747,1936,3892,35544790999,4764448006,0.96,2.3,7077408
1776197871,274612,165184,5747,1936,3892,35544883258,4764474533,0.89,2.3,7076844
1776197876,274616,165184,5747,1936,3892,35544970781,4764508671,0.81,0,7075616
1776197881,274668,165184,5747,1936,3892,35545321947,4765930777,0.75,4.6,7073908
1776197887,274752,165184,5747,1936,3892,35545927210,4767556706,0.69,4.6,7074596
1776197892,274756,165184,5747,1936,3892,35546190398,4768065117,0.63,0,7070652
1776197898,274760,165184,5747,1936,3892,35546336128,4768272960,0.58,2.4,7070380
1776197903,274900,165204,5750,1937,3894,35546445634,4768317938,0.54,4.6,7069128
1776197908,274900,165204,5750,1937,3894,35546582122,4768507698,0.49,2.4,7072960
1776197914,274912,165204,5750,1937,3894,35547112958,4769933004,0.45,4.8,7071832
1776197919,274912,165204,5750,1937,3894,35547692477,4771452303,0.38,2.3,7072472
1776197924,274912,165204,5750,1937,3894,35547814678,4771628363,0.35,0,7069724
1776197930,274912,165252,5753,1938,3896,35547912825,4771706983,0.32,0,7067728
1776197935,274912,165252,5753,1938,3896,35547992550,4771737024,0.30,0,7067224
1776197941,274912,165252,5025,1691,3400,35548327444,4772927693,0.27,9,7071700
1776197946,274912,165252,3374,1142,2298,35548818001,4774604438,0.33,4.6,7073836
1776197951,274912,165252,2501,854,1728,35549027579,4774984042,0.31,0,7071008
1776197957,274912,165252,2493,852,1722,35549121164,4775022625,0.28,0,7071812
1776197962,274912,165252,2463,842,1702,35549211642,4775035867,0.26,2.4,7069836
1776197967,274912,165252,2451,838,1694,35549287231,4775042478,0.24,0,7069044
1776197973,274912,165252,2268,777,1572,35549386516,4775095133,0.22,4.6,7068860
1776197978,274912,165252,2048,703,1426,35549491459,4775129913,0.20,2.3,7067596
1776197984,274912,165252,1949,670,1360,35549566078,4775143527,0.18,4.6,7066428
1776197989,274912,165252,1811,624,1268,35549642958,4775156966,0.17,2.4,7065576
1776197994,274912,165252,1811,624,1268,35549720031,4775159248,0.14,2.4,7067496
